"ArtNumber";"Title";"Description_Short";"DisplayPrice";"Img_url";"Deeplink1";"ProductCategoryID";"ProductCategoryName";"color";"lieferzeit";"Wichtigste Produkteigenschaften Aufzahlungspunkt 1";"Wichtigste Produkteigenschaften Aufzahlungspunkt 2";"Wichtigste Produkteigenschaften Aufzahlungspunkt 3";"Wichtigste Produkteigenschaften Aufzahlungspunkt 4";"Wichtigste Produkteigenschaften Aufzahlungspunkt 5";"Available sizes";"virtual_top10ofbrand";"virtual_top25"
"HU1-f40-0002-03";"Hunter Outdoor Schuhe Boots Damen";"HUNTER Boots sind absolut angesagt - auf Großstadtboulevards wie auf Rockfestivals! Versandkostenfrei mit schneller Lieferung bei Zalando.de bestellen.";"109.95 EUR";"http://i2.ztatic.de/large/H/U/HU1-40-0002-03__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/hunter-boots-original-dunkelbraun.html?cg=03&ch=03";32492847;"Schuhe > Damenschuhe > Outdoor Schuhe > Boots";"braun";"1-2 Tage";"Logo am vorderen Schaftrand |wasserdicht";"Naturkautschuk";"Innenmaterial: Nylon gefüttert";"Decksohle: Nylon";"abriebfester Gummi";"36";"0";"0"
"HU1-f40-0002-06";"Hunter Outdoor Schuhe Boots Damen";"HUNTER Boots sind absolut angesagt - auf Großstadtboulevards wie auf Rockfestivals! Bei Zalando.de versandkostenfrei bestellen und die schnelle Lieferung genießen.";"109.95 EUR";"http://i1.ztatic.de/large/h/u/hu1-f40-0002-06__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/hunter-boots-original-gruen.html?cg=03&ch=03";32492847;"Schuhe > Damenschuhe > Outdoor Schuhe > Boots";"gruen";"1-2 Tage";"top Style|wasserdicht";"Naturkautschuk";"Innenmaterial: Nylon gefüttert";"Decksohle: Nylon";"abriebfester Gummi";"36 37 39 40,5 47";"1";"0"
"GL1-f31-0001-01";"Glerups.dk Pantoletten Hausschuhe Hausschuh";"Wunderschöner Design Hausschuh aus ökologischem Wollfilz von Glerups.dk - mit wohlig warmen Füßen durch die kalten Wintertage! Jetzt versandkostenfrei bestellen im Shop von zalando.de - we serve shoes!";"69.95 EUR";"http://i1.ztatic.de/large/G/L/GL1-f31-0001-01__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/glerups-hausschuh-filz-schwarz.html?cg=03&ch=03";32492850;"Schuhe > Damenschuhe > Pantoletten > Hausschuhe";"schwarz";"1-2 Tage";"aus ökologisch erzeugter Wolle|dezentes Design";"Filz aus Schafwolle";"";"";"echtes Leder";"36 37 38 39 40 41 43 44 45 46 47";"1";"0"
"GL1-f31-0001-05";"Glerups.dk Pantoletten Hausschuhe Hausschuh";"Wunderschöner Design Hausschuh aus ökologischem Wollfilz von Glerups.dk - mit wohlig warmen Füßen durch die kalten Wintertage! Jetzt versandkostenfrei bestellen im Shop von zalando.de - we serve shoes!";"69.95 EUR";"http://i1.ztatic.de/large/G/L/GL1-f31-0001-05__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/glerups-hausschuh-filz-rot.html?cg=03&ch=03";32492850;"Schuhe > Damenschuhe > Pantoletten > Hausschuhe";"rot";"1-2 Tage";"aus ökologisch erzeugter Wolle|dezentes Design";"Filz aus Schafwolle";"";"";"echtes Leder";"36 37 38 39 40 41";"1";"0"
"HU1-f40-0002-05";"Hunter Outdoor Schuhe Boots Damen";"HUNTER Boots sind absolut angesagt - auf Großstadtboulevards wie auf Rockfestivals schützen sie vor Regen und Schnee. Jetzt versandkostenfrei bestellen bei zalando.de - we serve shoes!";"109.95 EUR";"http://i2.ztatic.de/large/H/U/HU1-f40-0002-05__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/hunter-boots-original-rot.html?cg=03&ch=03";32492847;"Schuhe > Damenschuhe > Outdoor Schuhe > Boots";"rot";"1-2 Tage";"Logo am vorderen Schaftrand |wasserdicht";"Naturkautschuk";"Innenmaterial: Nylon gefüttert";"Decksohle: Nylon";"abriebfester Gummi";"36";"0";"0"
"TI1-m27-0007-03";"Timberland Herrenschuhe Freizeitschuhe ANNIVERSARY";"Die Timberland Boot mit robustem Fettleder und hochwertiger Verarbeitung. Jetzt Ihre Stiefel und Schuhe versandkostenfrei bei zalando.de bestellen - we serve shoes!";"169.95 EUR";"http://i2.ztatic.de/large/T/I/TI1-m27-0007-03__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/timberland-anniversary-leder-boot-dunkelbraun.html?cg=03&ch=03";32436496;"Schuhe > Herrenschuhe > Freizeitschuhe";"braun";"1-2 Tage";"´Waterproof-System´|Winterfeste Sohle für sicheren Schritt und Tritt";"Leder";"Innenmaterial: Lederfutter";"Decksohle: Leder";"hochwertiger Kunststoff";"40 43,5 44 45 46 47,5 49 50";"1";"0"
"CR1-f06-0001-20";"Creative Recreation Damenschuhe Sneaker GALOW HI";"Cool und unkonventionell - Der GALOW HI aus der Kreativschmiede von Creative Recreation. Bestellen -Sie mit kostenlosem Versand und schneller Lieferung bei Zalando.de!";"95.00 EUR";"http://i2.ztatic.de/large/C/R/CR1-f06-0001-20__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/galow-hi-edel-sneaker-multicolor.html?cg=03&ch=03";32436492;"Schuhe > Damenschuhe > Sneaker";"multicolor";"1-2 Tage";"aufwendig gestanztes Leder|Metall-Schlüsselanhänger bei jedem Schuh dabei";"Leder";"Innenmaterial: Textilfutter";"Decksohle: Textil";"hochwertiger Kunststoff";"37";"0";"0"
"CR1-f06-0001-12";"Creative Recreation Damenschuhe Sneaker GALOW HI";"In den angesagtesten Clubs zu Hause - Der GALOW HI aus der Kreativschmiede von Creative Recreation. Jetzt mit kostenlosem Versand bei zalando.de bestellen - we serve shoes!";"95.00 EUR";"http://i2.ztatic.de/large/C/R/CR1-f06-0011-12__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/galow-hi-edel-sneaker-weiss-gold.html?cg=03&ch=03";32436492;"Schuhe > Damenschuhe > Sneaker";"weiss komb.";"1-2 Tage";"aufwendig gestanztes Leder|Metall-Schlüsselanhänger bei jedem Schuh dabei";"Leder";"Innenmaterial: Textilfutter";"Decksohle: Textil";"hochwertiger Kunststoff";"37";"0";"0"
"EL1-f22-0006-03";"El Naturalista Damenschuhe Stiefeletten ANGELINA";"Bezaubernde Winter-Stiefelette von EL NATURALISTA - wohlig warm durch den Winter. Bei zalando.de bestellen und den kostenlosen Versand genießen!";"149.95 EUR";"http://i2.ztatic.de/large/E/L/EL1-f22-0006-03__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/el-naturalista-angelina-absatz-stiefelette-dunkelbraun.html?cg=03&ch=03";32436502;"Schuhe > Damenschuhe > Stiefeletten";"braun";"1-2 Tage";"robust und sportiv |auswechselbares Fussbett";"Leder";"Innenmaterial: Lederfutter";"Decksohle: Leder";"hochwertiger Natur-Kautschuk";"36 37 38 39 40 41 42";"0";"0"
"BL1-f21-0003-01";"Blowfish Stiefeletten Boots HOBBIT";"Hier gibt´s die tollen Boots von Blowfish, Malibu in trendigen Farben und Styles. Genießen Sie die Auswahl angesagter Labels und unseren kostenlosen und schnellen Versand bei Zalando.de!";"45.00 EUR";"http://i2.ztatic.de/large/B/L/BL1-f21-0003-01__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/hobbit-short-boot-schwarz.html?cg=03&ch=03";32492857;"Schuhe > Damenschuhe > Stiefeletten > Ankle Boots";"schwarz";"1-2 Tage";"superweiche Sohle|lila Innenfutter";"Hochwertiges Lederimitat";"Innenmaterial: Textilfutter";"Decksohle: Textil";"hochwertiger Kunststoff";"36";"0";"0"
"DI1-f20-0013-01";"Diesel Damenschuhe Stiefeletten EASY RIDER";"Eleganz pur! Die Diesel EASY RIDER Booties kombinieren höchste Qualität, hochwertige Materialien und aufwendige Details. Genießen Sie unseren schnellen und kostenlosen Versand bei Zalando.de.";"169.00 EUR";"http://i2.ztatic.de/large/D/I/DI1-f20-0013-01__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/easy-rider-bootie-schwarz.html?cg=03&ch=03";32436502;"Schuhe > Damenschuhe > Stiefeletten";"schwarz";"1-2 Tage";"detailreiches Design  |sehr hochwertige Materialkombination";"Leder";"Innenmaterial: Lederfutter";"Decksohle: Leder";"echtes Leder";"36";"0";"0"
"BL1-f21-0009-01";"Blowfish Stiefeletten Boots HOBBIT";"ENDLICH DA! Die HOBBIT Boots von Blowfish, Malibu in tollen Farben - In Schwarz zum grünen Innenfutter, einfach Cool! Jetzt mit kostenlosem Versand und schneller Lieferung bei Zalando.de bestellen!";"49.00 EUR";"http://i2.ztatic.de/large/B/L/BL1-f21-0009-01__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/blowfish-hobbit-short-boot-canvas-schwarz.html?cg=03&ch=03";32492857;"Schuhe > Damenschuhe > Stiefeletten > Ankle Boots";"schwarz";"1-2 Tage";"Honigfarbene, softe Sohle|grünes Innenfutter";"Textil";"Innenmaterial: Textilfutter";"Decksohle: Textil";"hochwertiger Kunststoff";"37";"0";"0"
"BL1-f21-0009-19";"Blowfish Stiefeletten Boots HOBBIT";"ENDLICH DA! Die HOBBIT Boots von Blowfish Malibu in tollen Farben - In Khaki mit gras- grünem Innenfutter, einfach cool! Jetzt mit kostenlosem Versand und schneller Lieferung bei Zalando.de bestellen!";"39.00 EUR";"http://i1.ztatic.de/large/B/L/BL1-f21-0009-19__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/blowfish-hobbit-short-boot-canvas-khaki.html?cg=03&ch=03";32492857;"Schuhe > Damenschuhe > Stiefeletten > Ankle Boots";"oliv";"1-2 Tage";"Honigfarbene, softe Laufsohle|strahlend grünes Innenfutter";"Textil";"Innenmaterial: Textilfutter";"Decksohle: Textil";"hochwertiger Kunststoff";"38";"0";"0"
"BL1-f13-0011-01";"Blowfish Damenschuhe Sandalen LA VILLA";"Der Trend des Sommers - Sandaletten im Gladiatoren-Look von Blowfish Malibu. Entdecken Sie bei Zalando.de die neuesten Modelle von Blowfish mit kostenlosem Versand!";"39.00 EUR";"http://i2.ztatic.de/large/B/L/BL1-f11-0011-01__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/blowfish-sandalette-la-villa-schwarz.html?cg=03&ch=03";32436504;"Schuhe > Damenschuhe > Sandaletten";"schwarz";"1-2 Tage";"Zehensandale im Römer-Look|weiches Obermaterial";"Hochwertiges Lederimitat";"Innenmaterial: Textilfutter";"Decksohle: Textil";"hochwertiger Kunststoff";"37 40 41 42";"0";"0"
"BL1-f13-0011-03";"Blowfish Damenschuhe Sandalen LA VILLA";"Der Trend des Sommers - dunkelbraune Sandaletten im Gladiatoren-Look von Blowfish Malibu. Entdecken Sie bei Zalando.de die neuesten Modelle von Blowfish mit kostenlosem Versand!";"39.00 EUR";"http://i2.ztatic.de/large/B/L/BL1-f13-0011-03__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/blowfish-sandalette-la-villa-dunkelbraun.html?cg=03&ch=03";32436504;"Schuhe > Damenschuhe > Sandaletten";"braun";"1-2 Tage";"Zehensandale im Römer-Look|dezente Raffung an der Fersenkappe";"Hochwertiges Lederimitat";"Innenmaterial: Textilfutter";"Decksohle: Textil";"hochwertiger Kunststoff";"37 40 41";"0";"0"
"CL1-f15-0024-01";"Clarks Damenschuhe Pantoletten PANCAKE SYRUP";"Schön geschnittene Sanalette aus weichen Leder-Riemchen mit raten Nähten und einem geflochtenen Zierband. Genießen Sie den schnellen und kostenlosen Versand bei Zalando.de!";"49.00 EUR";"http://i2.ztatic.de/large/C/L/CL1-f15-0024-01__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/clarks-pancake-syrup-dianette-schwarz.html?cg=03&ch=03";32436506;"Schuhe > Damenschuhe > Pantoletten";"schwarz";"1-2 Tage";"´Active Air´ Laufsohle|praktischer Elastikeinsatz an der Schnalle";"Leder";"Innenmaterial: Lederfutter";"Decksohle: Leder";"hochwertiger Kunststoff";"39";"0";"0"
"TI1-m04-0012-13";"Timberland Herrenschuhe Freizeitschuhe EK21";"Timberland EK21 Leder-Mokassin - braunes Oberleder in Vintage-Optik sowie die charakteristische Schnürung des Docksiders. Genießen Sie jetzt den kostenlosen Versand bei Zalando.de";"95.00 EUR";"http://i2.ztatic.de/large/T/I/TI1-m04-0012-13__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/timberland-ek21-leder-mokassin-wheat.html?cg=03&ch=03";32436496;"Schuhe > Herrenschuhe > Freizeitschuhe";"braun";"1-2 Tage";"Logo-Prägung an der Seite|´Non-marking sole´, garantiert streifenfreie Laufsohle";"Leder";"Innenmaterial: Lederfutter";"Decksohle: Leder";"hochwertiger Kunststoff";"41,5";"0";"0"
"MI1-f11-0001-13";"Minnetonka Schnürer Fransen damen KILTY MOC";"Styling-Tipp: Für alle Grosstadtindianer gibt es jetzt die neuesten Modelle von MINNETONKA bei Zalando.de. Mokassins und Fransenstiefel jetzt versandkostenfrei bestellen.";"45.00 EUR";"http://i2.ztatic.de/large/M/I/MI1-f11-0001-13__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/minnetonka-kilty-mokassin-peace-brown-suede-leder.html?cg=03&ch=03";32492851;"Schuhe > Damenschuhe > Schnürer > Mokassin";"braun";"1-2 Tage";"auch barfuß zu empfehlen|Antik-silberfarbene Nieten auf dem Blatt";"Leder";"Innenmaterial: Lederfutter";"Decksohle: Leder";"abriebfester Gummi";"36 37 38";"0";"0"
"VA1-f11-0019-05";"Vagabond Damenschuhe Boots GRAZIELA";"Super trendy Ballerinas von Vagabond - topaktuell und modisch in den Frühling! Jetzt kostenfreier und schneller Versand bei Zalando.de!";"55.00 EUR";"http://i2.ztatic.de/large/V/A/VA1-f11-0019-05__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/graziela-ballerina-rot.html?cg=03&ch=03";32436503;"Schuhe > Damenschuhe > Ballerinas";"rot";"1-2 Tage";"super leicht und flexibel|witziger Musterpprint auf Innen- und Laufsohle";"Leder";"Innenmaterial: Textilfutter";"Decksohle: Synthetik";"abriebfester Gummi";"40";"0";"0"
"VA1-f13-0024-03";"Vagabond Sandaletten Flache Sandaletten MICRO";"Sommertrend Indianer-Look. Angesagte Fesselsandalen im Römer-Stil aus der aktuellen Kollektion von Vagabond. Jetzt versandkostenfrei mit schneller Lieferung bei Zalando.de bestellen";"69.95 EUR";"http://i2.ztatic.de/large/V/A/VA1-f13-0024-03__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/vagabond-micro-fransensandale-dark-brown.html?cg=03&ch=03";32491633;"Schuhe > Damenschuhe > Sandaletten > Flache Sandaletten";"braun";"1-2 Tage";"Intarsien-Prägung auf der Innensohle|leicht und flexibel";"Leder";"";"Decksohle: Leder";"hochwertiger Kunststoff";"36 37 38 39 40 41";"0";"0"
"FR1-f14-0004-14";"Fru.it Damenschuhe Pantoletten Fransen";"Italienische Designer Schuhe, direkt von der Adria jetzt bei Zalando.de! Fru.it Fashion-Pantolette mit top-modischen Fransen - jetzt versandkostenfrei bestellen und den schnellen Versand genießen.";"89.00 EUR";"http://i1.ztatic.de/large/F/R/FR1-f14-0004-14__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/fruit-fransen-pantolette-veloursleder-camel.html?cg=03&ch=03";32436506;"Schuhe > Damenschuhe > Pantoletten";"beige";"1-2 Tage";"Veloursleder bezogenes Fersenpolster|rutschfeste Reliefsohle";"Leder";"";"Decksohle: Leder";"hochwertiger Kunststoff";"37";"0";"0"
"FR1-f14-0004-23";"Fru.it Damenschuhe Pantoletten Fransen";"Edle italienische Designer Schuhe, direkt von der Adria jetzt bei Zalando.de! Fru.it Fashion-Pantolette im top-modischen Fransen-Stil - jetzt versandkostenfrei bestellen und den schnellen Versand genießen.";"89.00 EUR";"http://i1.ztatic.de/large/F/R/FR1-f14-0004-23__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/fruit-fransen-pantolette-veloursleder-tufo.html?cg=03&ch=03";32436506;"Schuhe > Damenschuhe > Pantoletten";"braun";"1-2 Tage";"Veloursleder-Pad mit Fersenpolster|rutschsichere Reliefsohle";"Leder";"";"Decksohle: Leder";"hochwertiger Kunststoff";"37 38";"0";"0"
"ST2-f06-0002-12";"Striipe Damenschuhe Sneaker BOOT W SHINE";"Street Culture aus Dänemark - BOOT W SHINE im Retro-Look von Striipe in schönem Farben-Mix. Jetzt kostenfrei und schnell bei Zalando.de bestellen und genießen.";"35.00 EUR";"http://i2.ztatic.de/large/S/T/ST1-f06-0002-12__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/striipe-boot-w-shine-sneaker-high-white-silver.html?cg=03&ch=03";32436492;"Schuhe > Damenschuhe > Sneaker";"weiss komb.";"1-2 Tage";"aufgesticktes Striipe-Logo auf der Ferse|silber-farbene Ösen mit Striipe-Logo-Prägung";"Kunststoff / Nylon";"Innenmaterial: Textilfutter";"Decksohle: Textil";"hochwertiger Kunststoff";"38";"0";"0"
"MI1-f11-0007-13";"Minnetonka Schnürer Fransen damen KILTY MOC";"Styling-Tipp: Für alle Grosstadtindianer gibt es jetzt die neuesten Modelle von MINNETONKA bei Zalando.de. Mokassins und Fransenstiefel jetzt versandkostenfrei bestellen.";"45.00 EUR";"http://i1.ztatic.de/large/M/I/MI1-f04-0007-13__default__6.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/minnetonka-kilty-leder-mokassin-brown.html?cg=03&ch=03";32492851;"Schuhe > Damenschuhe > Schnürer > Mokassin";"braun";"1-2 Tage";"auch barfuß zu empfehlen|Lederdurchzug";"Leder";"Innenmaterial: Lederfutter";"Decksohle: Leder";"abriebfester Gummi";"37";"0";"0"
